spacing(mm),length(mm),force_mag(N),nonlinearity,memory
38.46153846153847,192.30769230769232,1.5,5.713397430948376,36.94299170839289
38.46153846153847,192.30769230769232,1.25,6.9344353082738985,79.8526028041273
38.46153846153847,192.30769230769232,1.0,6.6043721662684405,90.91367529642079
38.46153846153847,192.30769230769232,0.725,7.143184176194886,102.60719569373364
38.46153846153847,192.30769230769232,0.5,5.943988860455707,103.81715228746701
38.46153846153847,192.30769230769232,0.2,4.749084369270439,105.14830582998798
38.46153846153847,192.30769230769232,0.06,3.379407848911211,102.99056671024955
38.46153846153847,192.30769230769232,0.02,2.752785601437708,98.61755400243008
45.45454545454545,227.27272727272725,1.25,5.724615089139383,35.35119044773415
45.45454545454545,227.27272727272725,1.0,4.943347979067577,31.45875794333654
45.45454545454545,227.27272727272725,0.725,6.492034376832415,98.02768181635786
45.45454545454545,227.27272727272725,0.5,7.055117819071662,120.67093774185824
45.45454545454545,227.27272727272725,0.2,4.994880773268754,121.72306811068297
45.45454545454545,227.27272727272725,0.06,3.0562513496827513,120.36789023987447
45.45454545454545,227.27272727272725,0.02,2.751844386681338,119.62312036482435
55.55555555555555,277.77777777777777,1.0,5.638627627418207,44.0962310317802
55.55555555555555,277.77777777777777,0.725,4.437409268313024,39.53096924601676
55.55555555555555,277.77777777777777,0.5,5.819885678309561,97.74758093961624
55.55555555555555,277.77777777777777,0.2,5.714487555913503,157.9910848012264
55.55555555555555,277.77777777777777,0.06,3.5097245312459933,135.27225612766017
55.55555555555555,277.77777777777777,0.02,2.7596211174327867,128.95775055337987
71.42857142857143,357.14285714285717,0.725,4.8391701737658614,43.5458253912189
71.42857142857143,357.14285714285717,0.5,4.357060293872838,42.43487683518359
71.42857142857143,357.14285714285717,0.2,7.053806268449424,102.75571246927191
71.42857142857143,357.14285714285717,0.06,4.577612918785966,93.97125837244756
71.42857142857143,357.14285714285717,0.02,2.784423980045844,84.46841564077319
85.0,425.0,0.5,3.8699072517221564,45.4803617103154
85.0,425.0,0.2,5.117263720286631,30.246694404017397
85.0,425.0,0.06,3.5987715471367063,30.36308989875925
85.0,425.0,0.02,2.765323119147164,27.339067428336286
100.0,500.0,0.2,4.6909754668324934,40.972637655953044
100.0,500.0,0.06,7.924192451381272,118.97817656181323
100.0,500.0,0.02,7.167819174669656,99.59416260246884
125.0,625.0,0.06,5.610439490432975,35.06070911177182
125.0,625.0,0.02,3.558396243945629,30.146853955509176
166.66666666666666,833.3333333333333,0.02,4.685607063632382,32.39058974810228
