num_threads,spacing(mm),length(mm),tension(N),force_mag(N),nonlinearity train,memory train,nonlinearity test,memory test
4,50.0,250.0,0.01,0.4,0.8469962424499362,0.26423542636173164,0.8467353905380023,0.24357752719731152
4,60.0,300.0,0.01,0.2314814814814814,0.8005966892920515,0.3214816191175887,0.8153813483536183,0.2854365064555955
4,70.0,350.00000000000006,0.01,0.09765625,0.7429223987055968,0.38451699896058844,0.7780130574111711,0.33497423392453113
4,80.0,400.0,0.01,0.09765625,0.7787397510523716,0.4346073711822447,0.8156869184971706,0.3732320066745982
4,90.0,449.99999999999994,0.01,0.05,0.7852134502666175,0.45221104541371004,0.8110345623261586,0.3814790228484152
4,100.0,500.0,0.01,0.05,0.7895123620166608,0.43656654032577485,0.8047573520928903,0.37521714059113176
4,50.0,250.0,0.1,0.4,0.749332147835718,0.2643069176731185,0.7851358826888203,0.24063023983034518
4,60.0,300.0,0.1,0.2314814814814814,0.7294760022639244,0.325633594060738,0.7498560349563788,0.2881982005884938
4,70.0,350.00000000000006,0.1,0.09765625,0.6328466927239569,0.4012480756459003,0.6661217303116398,0.3481377893375261
4,80.0,400.0,0.1,0.09765625,0.6543337725935588,0.46477583959106583,0.6602237501680124,0.3976255242460166
4,90.0,449.99999999999994,0.1,0.05,0.6605841270133173,0.47757934360128346,0.6348908497000123,0.40227004046140363
4,100.0,500.0,0.1,0.05,0.6758458927254288,0.494264571857054,0.636028960601426,0.4137522939161571
4,50.0,250.0,0.5,0.4,0.6775903695490595,0.2654746708920817,0.7215097181760839,0.23970293245941288
4,60.0,300.0,0.5,0.2314814814814814,0.5730408689976708,0.3534484468493977,0.5660440667810132,0.3219589175458542
4,70.0,350.00000000000006,0.5,0.09765625,0.5072285966883316,0.4087495106162613,0.509953593111943,0.3592074216720551
4,80.0,400.0,0.5,0.09765625,0.5168448887009579,0.46706163140837376,0.5285548896758119,0.3949564522559136
4,90.0,449.99999999999994,0.5,0.05,0.35156542062613455,0.5070424856048075,0.35489008293452906,0.42445392872039095
4,100.0,500.0,0.5,0.05,0.3527779898192293,0.5467859619017406,0.3576595696908482,0.4568392707065632
4,50.0,250.0,1.0,0.4,0.5904846284641223,0.2787273769259205,0.6146651011747087,0.25219679940689504
4,60.0,300.0,1.0,0.2314814814814814,0.505550172326514,0.3591279051466286,0.509222991271859,0.33362976722910254
4,70.0,350.00000000000006,1.0,0.09765625,0.3312433391686141,0.41361663166374757,0.33390372380247174,0.3740495893409977
4,80.0,400.0,1.0,0.09765625,0.32912684717133084,0.4965485164395084,0.3326320131087805,0.4420555675503435
4,90.0,449.99999999999994,1.0,0.05,0.29447232096087184,0.539891142514838,0.29405844133974857,0.4748545124934023
4,100.0,500.0,1.0,0.05,0.2944665727064218,0.5875345850402399,0.2938599150752698,0.5221691314230231
4,50.0,250.0,2.0,0.4,0.4440801714747411,0.2771861963793557,0.4507615522068362,0.26356263615317743
4,60.0,300.0,2.0,0.2314814814814814,0.3455073283091844,0.34964580089785186,0.35090106240816243,0.3285033266641723
4,70.0,350.00000000000006,2.0,0.09765625,0.2936719268297673,0.39651364788956756,0.29299264137236364,0.3654575502195753
4,80.0,400.0,2.0,0.09765625,0.29383094582765834,0.45776283580390004,0.2929013561722619,0.413963450932411
4,90.0,449.99999999999994,2.0,0.05,0.2932395448268168,0.4803088068409425,0.2923675401932974,0.42660087633372407
4,100.0,500.0,2.0,0.05,0.2933431407254229,0.5206042115536067,0.2924245966599887,0.46148894642739896
4,50.0,250.0,5.0,0.4,0.2961702194432957,0.24700478268824871,0.2965095333380095,0.23242498017488958
4,60.0,300.0,5.0,0.2314814814814814,0.2932984510462381,0.2978786537543382,0.2925790386093444,0.2794759283094612
4,70.0,350.00000000000006,5.0,0.09765625,0.29316017623590085,0.3350472250429688,0.2921546915887149,0.30666210046813164
4,80.0,400.0,5.0,0.09765625,0.29412409048876453,0.388149918632636,0.2921442736798564,0.3537030415350729
4,90.0,449.99999999999994,5.0,0.05,0.2911723581492688,0.40826201053304795,0.29009003442082937,0.36232836682917113
4,100.0,500.0,5.0,0.05,0.2911935950677203,0.4356842884103154,0.2899370635321593,0.3822882408348324
